ï»¿Room ID,Name,Host ID,Neighbourhood,Room type,Room Price,Minimum nights,Number of reviews,Date last review,Number of reviews per month,Rooms rent by the host,Availibility,Updated Date,City,Country,Coordinates,Location
24109009,"Bright, cozy, central and comfortable apartment",39694542,SkarpnÃ¤cks,Entire home/apt,570.0,12,2,2018-08-12,0.08,2,0,2020-06-26,Stockholm,Sweden,"59.298144141908786, 18.08899263845119","Sweden, Stockholm, SkarpnÃ¤cks"
24168506,Location! Cutest Studio Apartment in the Old Town,131301208,SÃ¶dermalms,Entire home/apt,1222.0,3,170,2020-06-07,6.25,1,328,2020-06-26,Stockholm,Sweden,"59.32541073246849, 18.071199819062702","Sweden, Stockholm, SÃ¶dermalms"
24213462,Charming 2 room apt in the heart of trendy SOFO,73501587,SÃ¶dermalms,Entire home/apt,2604.0,6,10,2019-12-22,0.57,2,0,2020-06-26,Stockholm,Sweden,"59.31366740343197, 18.082159253467196","Sweden, Stockholm, SÃ¶dermalms"
24425188,Modern city apartment in a great area!,184433167,Kungsholmens,Entire home/apt,1250.0,2,2,2019-07-13,0.16,1,365,2020-06-26,Stockholm,Sweden,"59.33890451977717, 18.005391287606543","Sweden, Stockholm, Kungsholmens"
24722233,1 - 2 rum med badrum. Frukost ingÃ¥r.,68911516,Farsta,Private room,505.0,1,0,,,1,0,2020-06-26,Stockholm,Sweden,"59.25884685386209, 18.125995267690996","Sweden, Stockholm, Farsta"
24940632,All inclusive stay Stockholm - 30% discount now!,21803582,Kungsholmens,Entire home/apt,551.0,4,31,2020-04-01,1.22,2,6,2020-06-26,Stockholm,Sweden,"59.32845807811002, 18.007522536935795","Sweden, Stockholm, Kungsholmens"
24998461,Unique space south of Stockholm including cats,76701792,SkarpnÃ¤cks,Entire home/apt,999.0,2,6,2019-09-01,0.24,2,0,2020-06-26,Stockholm,Sweden,"59.276830389437535, 18.115722381401614","Sweden, Stockholm, SkarpnÃ¤cks"
25222346,Cozy 1 bedroom apartment in SoFo SÃ¶dermalm,190403395,SÃ¶dermalms,Entire home/apt,962.0,3,17,2019-06-09,0.68,1,0,2020-06-26,Stockholm,Sweden,"59.30802293525009, 18.078725995337628","Sweden, Stockholm, SÃ¶dermalms"
25233926,Big.w1bedroom+livin+GREATarea,4975338,SÃ¶dermalms,Entire home/apt,617.0,2,13,2019-11-24,0.53,1,0,2020-06-26,Stockholm,Sweden,"59.31813466602628, 18.03318109585509","Sweden, Stockholm, SÃ¶dermalms"
25511103,Cosy studio apartment near the pulse of SÃ¶dermalm,192512626,SÃ¶dermalms,Entire home/apt,999.0,2,1,2018-06-15,0.04,1,26,2020-06-26,Stockholm,Sweden,"59.31770038811342, 18.029665114071456","Sweden, Stockholm, SÃ¶dermalms"
25567252,NEW! Rustic Style Studio FREE WIFI!,192834713,Ãstermalms,Entire home/apt,1194.0,1,7,2018-07-13,0.28,1,0,2020-06-26,Stockholm,Sweden,"59.349485672812385, 18.10359952842419","Sweden, Stockholm, Ãstermalms"
25619013,Beautiful old apt with sunny patio at Mariatorget,4315328,SÃ¶dermalms,Entire home/apt,1549.0,3,14,2019-07-23,0.57,1,0,2020-06-26,Stockholm,Sweden,"59.315940020867814, 18.065698822108835","Sweden, Stockholm, SÃ¶dermalms"
25775835,Private villa in MÃ¤larhÃ¶jden,119234339,HÃ¤gersten-Liljeholmens,Entire home/apt,999.0,2,0,,,1,82,2020-06-26,Stockholm,Sweden,"59.293612344933216, 17.955639744552702","Sweden, Stockholm, HÃ¤gersten-Liljeholmens"
25801687,Nice Accomodation + 2 bikes to lend  (april-oct),65800654,Enskede-Ãrsta-VantÃ¶rs,Private room,224.0,1,83,2020-03-07,3.39,1,124,2020-06-26,Stockholm,Sweden,"59.27699544745757, 18.0445992663228","Sweden, Stockholm, Enskede-Ãrsta-VantÃ¶rs"
